Run 1,Run 1,Run 1,Run 1,Run 1,Run 1,Run 1,Run 1,Run 1
Time (s),Force (N),Acceleration - x (m/så_),Acceleration - y (m/så_),Acceleration - z (m/så_),Acceleration - resultant (m/så_),Angular Velocity - x (rad/s),Angular Velocity - y (rad/s),Angular Velocity - z (rad/s)
1.53,-7.43,-71.3,4.5,-7.2,71.8,-18.6,-15.4,-6.7
1.54,-7.78,-76.3,3.5,-7.4,76.7,-18.8,-16,-8.8
1.55,-7.89,-79.2,2.2,-6.5,79.5,-19.4,-15.1,-9.6
1.56,-7.84,-80.1,1.5,-5.4,80.3,-19.8,-12.5,-9.7
1.57,-7.57,-79.6,1.6,-5.1,79.8,-19.9,-9.3,-10
1.58,-7.26,-77.8,2.2,-5.1,78,-19.7,-6.7,-11
1.59,-6.99,-74.8,2.5,-4.7,75,-19.3,-4.5,-12.5
1.6,-6.72,-71.6,2.4,-4.1,71.7,-19,-1.7,-14.4
1.61,-6.32,-68.5,1.5,-3.6,68.6,-18.5,1.6,-16.1
1.62,-6,-65.2,-0.1,-3.6,65.3,-17.6,4.8,-17.3
1.63,-5.79,-62.3,-2,-3.8,62.4,-16.4,7,-17.2
1.64,-5.74,-60.2,-3.4,-3.9,60.4,-15.2,8.2,-15.6
1.65,-5.84,-59.4,-3.6,-3.9,59.7,-14.2,8.4,-13.4
1.66,-6.17,-60.1,-3.3,-3.7,60.3,-13.4,8.4,-11.2
1.67,-6.58,-62.5,-3.2,-3.2,62.6,-12.7,8.7,-9.1
1.68,-6.91,-65.9,-3,-2.6,66,-11.9,9.7,-7.1
1.69,-7.17,-69.4,-2.3,-2.1,69.5,-11.3,11.8,-5.5
1.7,-7.19,-72.5,-1.8,-2.4,72.6,-10.7,14.4,-4.5
1.71,-7.21,-74.8,-1.7,-3.2,74.9,-10.2,16.4,-3.8
1.72,-7.08,-75.7,-1.6,-4.2,75.8,-9.7,16.9,-3.2
1.73,-6.96,-75.4,-1.6,-4.5,75.6,-9.2,16.2,-2.6
1.74,-6.86,-74.2,-1.7,-4.3,74.3,-8.7,15,-2.1
1.75,-6.89,-72.9,-2,-3.9,73,-8.4,13.8,-1.4
1.76,-6.9,-72.2,-2.4,-3.3,72.3,-8.2,13,-0.3
1.77,-7,-72.1,-2.4,-2.5,72.2,-8,12.8,1.5
1.78,-7.01,-72.5,-2.2,-2,72.6,-7.9,13.5,2.9
1.79,-7,-73.2,-1.8,-2.1,73.2,-7.9,14.5,4.1
1.8,-6.96,-73.8,-1.1,-2.7,73.8,-8,14.9,5.1
1.81,-6.81,-73.7,-0.5,-3.1,73.7,-8.3,14.4,5.6
1.82,-6.87,-73.1,-0.2,-3,73.2,-8.7,13.3,5.6
1.83,-6.92,-72.8,-0.2,-2.8,72.8,-9,12.2,5.5
1.84,-7,-73.1,-0.5,-2.6,73.1,-9.3,11.3,5.6
1.85,-7.13,-73.8,-1.3,-2.4,73.8,-9.7,10.5,6.1
1.86,-7.26,-74.8,-2.3,-2.2,74.9,-10.1,10.1,7.3
1.87,-7.32,-76.3,-3,-2.3,76.4,-10.6,9.6,9.3
1.88,-7.19,-77.5,-2.8,-2.7,77.6,-11.1,8.6,11.4
1.89,-6.91,-77.2,-2.2,-2.8,77.3,-11.6,6.9,13.1
1.9,-6.57,-75,-1.3,-2.4,75.1,-12.1,5.4,14.1
1.91,-6.24,-71.8,-0.6,-2.1,71.8,-12.5,4.2,14.3
1.92,-5.3,-67.9,-0.2,-1.9,67.9,-12.8,3.3,14.1
1.93,-3.44,-55.3,-0.2,-2,55.4,-13.2,2.4,13.7
1.94,-4.85,-48.7,1.1,-2.1,48.7,-13.6,1.7,13.3
1.95,-6.91,-50.9,2.2,-3.8,51,-14.3,0.2,11.6
1.96,-7.69,-65.5,1,-5.5,65.8,-15.1,-2.5,10
1.97,-8.25,-78.8,-3.4,-6.5,79.1,-15.7,-6.3,10.8
1.98,-8.33,-85.8,-3.4,-5.9,86,-15.8,-8.5,13.3
1.99,-7.95,-88.2,-0.8,-5.5,88.4,-15.4,-9.6,13.6
2,-7.42,-86.2,1,-5.6,86.4,-15.1,-9.8,11.9
2.01,-6.78,-80.9,-0.1,-5.3,81.1,-14.9,-10.3,10.7
2.02,-6.45,-74.9,0.9,-4.5,75,-14.8,-9.7,9.7
2.03,-6.21,-70.2,2.8,-4.5,70.4,-14.6,-9,7.3
2.04,-6,-67.2,3.3,-6.3,67.6,-14,-10.2,3.1
2.05,-5.62,-64.7,2.2,-7.1,65.1,-13.4,-13.3,0.6
2.06,-5.52,-61.4,1.9,-6.6,61.7,-13.2,-15.7,-0.9
2.07,-5.68,-58.7,2.3,-5.3,59,-13.5,-16.1,-2.1
2.08,-5.95,-59.1,2.4,-4.9,59.4,-14,-15,-3.4
2.09,-6.21,-61.6,2,-5.6,61.9,-14.5,-14.4,-4.3
2.1,-6.52,-64.4,2,-5.9,64.7,-14.9,-14.6,-4.9
2.11,-6.82,-66.7,2.7,-5,66.9,-15.3,-13.7,-5.8
2.12,-7.04,-69.2,4.1,-4.3,69.5,-15.6,-11.4,-7.6
2.13,-7.04,-71.6,5.1,-4.8,72,-16,-9,-10.5
2.14,-7.11,-72.6,5,-5.2,73,-16.5,-7.5,-13.6
2.15,-7.2,-72.6,3.6,-4.7,72.8,-17.2,-5.5,-16
2.16,-7.13,-72.6,2,-4.4,72.8,-17.8,-2.6,-17.4
2.17,-6.92,-72.9,0.7,-5.1,73.1,-18.1,-0.3,-18
2.18,-6.8,-71.6,-0.8,-5.4,71.8,-18.3,0.5,-17.8
2.19,-6.84,-70,-2.5,-4.8,70.2,-18.5,1.2,-16.4
2.2,-6.8,-68.9,-3.1,-3.7,69,-18.7,2.7,-14.1
2.21,-6.87,-68.9,-2.9,-3.1,69,-18.8,5.1,-11.9
2.22,-7.01,-69.5,-2.9,-2.8,69.6,-18.7,7.6,-10.2
2.23,-7.06,-70.8,-3.3,-2.9,70.9,-18.3,9.9,-8.3
2.24,-7.03,-71.9,-3.4,-2.9,72,-17.7,11.9,-6.4
2.25,-6.99,-72.6,-2.9,-3.1,72.7,-17.1,13.7,-4.8
2.26,-6.97,-73.1,-2.8,-3.7,73.2,-16.7,14.5,-3.5
2.27,-7.03,-73.4,-3,-4.2,73.6,-16.3,14.1,-2.2
2.28,-7.1,-73.7,-3.3,-4,73.8,-16.1,13,-0.5
